consider ,  kənsɪdər
raised ,  rezd
pays ,  pez
explain ,  ɪksplen
raises ,  rezəz
spending ,  spɛndɪŋ
support ,  səpɔrt
was ,  wəz
opens ,  opənz
buy ,  baj
offering ,  ɒfərɪŋ
offer ,  ɒfər
becoming ,  bɪkəmɪŋ
hoped ,  hopt
hear ,  hɪr
hopes ,  hops
trying ,  trajɪŋ
eat ,  it
raising ,  rezɪŋ
made ,  med
builds ,  bɪldz
catching ,  kætʃɪŋ
called ,  kɒld
moved ,  muvd
watches ,  wɑtʃəz
walks ,  wɒks
watched ,  wɑtʃt
moves ,  muvz
spends ,  spɛndz
dying ,  dajɪŋ
agreeing ,  əgriɪŋ
setting ,  sɛtɪŋ
brings ,  brɪŋz
explaining ,  ɪksplenɪŋ
draw ,  drɒ
living ,  lɪvɪŋ
dies ,  dajz
felt ,  fɛlt
stay ,  ste
helping ,  hɛlpɪŋ
meaning ,  minɪŋ
fell ,  fɛl
included ,  ɪnkludəd
died ,  dajd
began ,  bɪgæn
building ,  bɪldɪŋ
breaks ,  breks
happening ,  hæpənɪŋ
calls ,  kɒlz
walked ,  wɒkt
lives ,  lɪvz
having ,  hævɪŋ
